,smiles,Hepatobiliary disorders,Metabolism and nutrition disorders,Product issues,Eye disorders,Investigations,Musculoskeletal and connective tissue disorders,Gastrointestinal disorders,Social circumstances,Immune system disorders,Reproductive system and breast disorders,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",General disorders and administration site conditions,Endocrine disorders,Surgical and medical procedures,Vascular disorders,Blood and lymphatic system disorders,Skin and subcutaneous tissue disorders,"Congenital, familial and genetic disorders",Infections and infestations,"Respiratory, thoracic and mediastinal disorders",Psychiatric disorders,Renal and urinary disorders,"Pregnancy, puerperium and perinatal conditions",Ear and labyrinth disorders,Cardiac disorders,Nervous system disorders,"Injury, poisoning and procedural complications"
10,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1
11,CC[C@@H]([C@H](C)O)N1:N:C:N(C2:C:C:C(N3CCN(C4:C:C:C(OCC5CO[C@@](CN6:C:N:C:N:6)(C6:C:C:C(F):C:C:6F)C5):C:C:4)CC3):C:C:2):C:1=O,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
12,CN1C2CCC1CC(OC(C1:C:C:C:C:C:1)C1:C:C:C:C:C:1)C2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1
13,NC(CO)C(=O)NNCC1:C:C:C(O):C(O):C:1O.N[C@@H](CC1:C:C:C(O):C(O):C:1)C(=O)O,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0
14,CCCCCCCN(CC)CCCC(O)C1:C:C:C(NS(C)(=O)=O):C:C:1.CCCCCCCN(CC)CCCC(O)C1:C:C:C(NS(C)(=O)=O):C:C:1.O=C(O)C=CC(=O)O,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
15,C[C@@](CC1:C:C:C(O):C(O):C:1)(NN)C(=O)O.N[C@@H](CC1:C:C:C(O):C(O):C:1)C(=O)O,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
16,CN(C)CCC=C1C2:C:C:C:C:C:2CCC2:C:C:C:C:C:21,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1
17,CNCCC=C1C2:C:C:C:C:C:2CCC2:C:C:C:C:C:21,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
18,CN1CCC(=C2C3:C:C:C:C:C:3CCC3:S:C:C:C:32)CC1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
19,CCOC1:C:C:C2:C:C:C:C:C:2:C:1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0
20,CCC(=O)N(C1:C:C:C:C:C:1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1.Cl,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
21,CNS(=O)(=O)CCC1:C:C:C2:[NH]:C:C(C3CCN(C)CC3):C:2:C:1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
22,CN1CCC(=C2C3:C:C:C:C:C:3C=CC3:C:C:C:C:C:32)CC1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
23,CS(=O)(=O)C1:C:C:C(C(=O)NC2:C:C:C(Cl):C(C3:C:C:C:C:N:3):C:2):C(Cl):C:1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
24,CC1:C:C:C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O):C:C:1CC1:C:C:C(C2:C:C:C(F):C:C:2):S:1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1
25,CC(C)(C)NCC(O)COC1:N:S:N:C:1N1CCOCC1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0
26,CCN1CC(CCN2CCOCC2)C(C2:C:C:C:C:C:2)(C2:C:C:C:C:C:2)C1=O,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
27,CN1CCC[C@@H]1CC1:C:[NH]:C2:C:C:C(CCS(=O)(=O)C3:C:C:C:C:C:3):C:C:1:2,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
28,NC(=O)C1:C:N(CC2:C(F):C:C:C:C:2F):N:N:1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1
29,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1:C:N:C:C:N:1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1
30,CN1CCOC(C2:C:C:C:C:C:2)C2:C:C:C:C:C:2C1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0
31,CC(C)C1:N:C(CN(C)C(=O)NC(C(=O)NC(CC2:C:C:C:C:C:2)CC(O)C(CC2:C:C:C:C:C:2)NC(=O)OCC2:C:N:C:S:2)C(C)C):C:S:1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
32,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1
33,N[C@@H]1CCCCN(C2:C(F):C:C3:C(=O):C(C(=O)O):C:N(C4CC4):C:3:C:2Cl)C1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,C1CNCCN1.CC12CC[C@@H]3C4:C:C:C(OS(=O)(=O)O):C:C:4CCC3[C@@H]1CCC2=O,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0
35,CC(CS)C(=O)N1CCCC1C(=O)O,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
36,CC1:O:N:C(C2:C:C:C:C:C:2):C:1C1:C:C:C(S(N)(=O)=O):C:C:1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
37,CCC(=O)NS(=O)(=O)C1:C:C:C(C2:C(C3:C:C:C:C:C:3):N:O:C:2C):C:C:1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
38,COC1:C(N2CC3CCCNC3C2):C(F):C:C2:C(=O):C(C(=O)O):C:N(C3CC3):C:1:2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
39,OC(C1:C:C(C(F)(F)F):N:C2:C(C(F)(F)F):C:C:C:C:1:2)C1CCCCN1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
40,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1
41,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1
42,CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1
43,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1
44,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)C3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C.OC1:C(I):C:C(Cl):C2:C:C:C:N:C:1:2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
45,C1:C:C2:C(:C(NC3=NCCN3):C:1)CCCC2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
46,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4C5:C:C:C:C6:[NH]:C(Br):C(:C:5:6)CC4N(C)C3)(C(C)C)C(=O)N12,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
47,COC1:N:C(C):N:C(Cl):C:1NC1=NCCN1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
48,CN1CCN(C(=O)OC2C3:N:C:C:N:C:3C(=O)N2C2:C:C:C(Cl):C:N:2)CC1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1
50,CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
51,CCCCCCCCCCCCCCCCCC(=O)O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1
52,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)[C@H](C)[C@@H](OC2OC(C)CC(N(C)C)C2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
53,C[C@@]1(COC2:C:C:C(N3CCC(OC4:C:C:C(OC(F)(F)F):C:C:4)CC3):C:C:2)CN2:C:C([N+](=O)[O-]):N:C:2O1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0
54,CC(C)CC(NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(NC(=O)C1CSSCC(N)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1)C(C)C)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC1:C:N:C:[NH]:1)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(CC1:C:C:C(O):C:C:1)C(=O)N1CCCC1C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(=O)N1CCCC1C(N)=O)C(C)O)C(C)O)C(C)O)C(C)O,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
55,CC1OC2(CS1)CN1CCC2CC1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
56,OC1:C:C:C2:C(:C:1)CC[C@H](C1:C:C:C:C:C:1)[C@@H]2C1:C:C:C(OCCN2CCCC2):C:C:1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
57,CC1(C)S[C@@H]2[C@H](NC(=O)CC3:C:C:C:C:C:3)C(=O)N2[C@H]1C(=O)O.CCN(CC)CCOC(=O)C1:C:C:C(N):C:C:1.O,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
58,COC(=O)[C@H]1[C@@H](C2:C:C:C(I):C:C:2)CC2CC[C@H]1N2CCCF,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
59,CCOC(=O)C1:C:C:C(C#CC2:C:C:C3:C(:C:2)C(C)(C)CCS3):N:C:1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
60,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1C1:C:C:C:C2:N:O:N:C:1:2,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
61,C1N2CN3CN1CN(C2)C3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
62,CC1:C:C:N:C2:C:1NC(=O)C1:C:C:C:N:C:1N2C1CC1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1
63,CCN1:N:C(C(=O)O):C(=O):C2:C:C3:C(:C:C:2:1)OCO3,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
64,CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)(O)OC4C(CO)OC(N5:C:N:C6:C:C(C):C(C):C:C:6:5)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.[C-]#N.[Co+2],0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0
65,CC1=C2N=C(C=C3N=C(C(C)=C4[N-]C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)([O-])OC4C(CO)OC(N5:C:N:C6:C:C(C):C(C):C:C:6:5)C4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O.O.[Co],0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0
66,CC(C)(C#N)C1:C:C(CN2:C:N:C:N:2):C:C(C(C)(C)C#N):C:1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1
67,CC12CCC3C4:C:C:C(O):C:C:4CCC3C1CCC2=O,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0
68,CC12CCC3C4:C:C:C(OS(=O)(=O)O):C:C:4CCC3C1CCC2=O,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1
69,COC12CCC3(CC1C(C)(O)C(C)(C)C)C1CC4:C:C:C(O):C5:C:4C3(CCN1CC1CC1)C2O5,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1
70,C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1
71,OC(C1:C:C:C:C:C:1)(C1:C:C:C:C:C:1)C12CC[N+](CCOCC3:C:C:C:C:C:3)(CC1)CC2.[Br-],0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1
72,C1:C:C:C([C@@H]2CCNC[C@H]2COC2:C:C:C3:C(:C:2)OCO3):C:C:1.CS(=O)(=O)O,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,FC1:C:C:C(C2CCNCC2COC2:C:C:C3:C(:C:2)OCO3):C:C:1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,O=C(C1CCCCC1)N1CC(=O)N2CCC3:C:C:C:C:C:3C2C1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1
75,CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
76,ClC1:C:C:C2:C(:C:1)CCC1:C:C:C:N:C:1C2=C1CCNCC1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1
77,CCOC(=O)N1CCC(=C2C3:C:C:C(Cl):C:C:3CCC3:C:C:C:N:C:32)CC1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0
78,CN1/C(=C(\[O-])NC2:C:C:C:C:N:2)C(=O)C2:C:C:C:C:C:2S1(=O)=O.[Na+],1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
79,CCC(=O)NC[C@@H]1C[C@@H]1C1:C:C:C:C2:C:1CCO2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
80,OCCOC1:C:C:C(C(=C(CCCl)C2:C:C:C:C:C:2)C2:C:C:C:C:C:2):C:C:1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0
81,CCN(CC)CCOC1:C:C:C(C(=C(Cl)C2:C:C:C:C:C:2)C2:C:C:C:C:C:2):C:C:1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
82,CCC(=C(C1:C:C:C:C:C:1)C1:C:C:C(OCCN(C)C):C:C:1)C1:C:C:C:C:C:1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
83,CN(C)CCOC1:C:C:C(C(=C(CCCl)C2:C:C:C:C:C:2)C2:C:C:C:C:C:2):C:C:1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0
84,NC1:N:C:N:C2:C:1:N:C:N:2C1OC(CO)C(O)C1O,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1
85,NC1:N:C(Cl):N:C2:C:1:N:C:N:2C1CC(O)C(CO)O1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
86,NC1:N:C(F):N:C2:C:1:N:C:N:2C1OC(CO)C(O)C1O,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
87,NC1:N:C(F):N:C2:C:1:N:C:N:2C1OC(COP(=O)(O)O)C(O)C1O,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
88,NC1:N:C(Cl):N:C2:C:1:N:C:N:2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
89,COC1:N:C(N):N:C2:C:1:N:C:N:2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1
90,CC(C)N1:C(C=CC(O)CC(O)CC(=O)O):C(C2:C:C:C(F):C:C:2):C2:C:C:C:C:C:2:1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
91,CCC1:C:C(C(N)=S):C:C:N:1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
92,O=C([O-])C1:C:C:C:N:C:1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
93,CC1:N:C:C(CO):C(CO):C:1O,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,CNCCC1:C:C:C:C:N:1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1
95,NC1:C:C:N:C:C:1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1
96,NNC(=O)C1:C:C:N:C:C:1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
97,CC(C)(C)NCC(O)C1:C:C:C(O):C(CO):N:1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1
98,O=P(O)(O)C(O)(CC1:C:C:C:N:C:1)P(=O)(O)O,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1
99,O=C(NCCO[N+](=O)[O-])C1:C:C:C:N:C:1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0
100,CC1CN(C2CCC(C#N)(C3:C:C:C(F):C:C:3)CC2)CCC1(C(=O)O)C1:C:C:C:C:C:1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
101,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
102,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
103,COC1:C:C2:N:C(N3CCN(C(=O)C4CCCO4)CC3):N:C(N):C:2:C:C:1OC,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1
104,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1
105,CCCCC1=NC2(CCCC2)C(=O)N1CC1:C:C:C(C2:C:C:C:C:C:2C2:N:N:[NH]:N:2):C:C:1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
106,CCC(=O)N(C1:C:C:C:C:C:1)C1(COC)CCN(CCC2:C:C:C:S:2)CC1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0
107,CC(C)C1CCC(C(=O)NC(CC2:C:C:C:C:C:2)C(=O)O)CC1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1
108,CC1:N:N:C(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)CN4:C:N:N:N:4)C3SC2):S:1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1
